,name,id,address_name,price_limit,Европейская кухня,Паназиатская кухня,Русская кухня,Американская кухня,Грузинская кухня,Постное меню,Вегетарианское меню,Cuisine,price_limit,office_time,reviews_general_rating,reviews_general_review_count
0,"Harbor, ресторан ",70000001062703679,"9-я Советская улица, 3",1600.0,1,0,0,1,0,0,0,Американская кухня; Европейская кухня,1600.0,2.42,4.6,7.0
1,"Kroo cafe, французский ресторан",5348553838944141,"Суворовский проспект, 27",3000.0,1,0,0,0,0,1,0,Европейская кухня; Французская кухня,3000.0,4.77,4.3,104.0
2,"Osteria Betulla, остерия",70000001050842811,"Греческий проспект, 29",1250.0,1,0,0,0,0,0,0,Авторская кухня; Итальянская кухня,1250.0,2.22,4.3,167.0
3,"Feromon Group, лаундж-бар",70000001066331086,"8-я Советская улица, 4а",1200.0,1,1,0,0,0,0,0,Европейская кухня; Паназиатская кухня; Итальянская кухня,1200.0,3.01,4.7,149.0
4,"Степнов, ресторан",5348552840330064,"Суворовский проспект, 25",1200.0,1,0,1,0,0,1,0,Европейская кухня; Русская кухня; Авторская кухня,1200.0,5.0,4.6,15.0
5,"Чито Гврито, ресторан грузинской кухни",5348553838625509,"8-я Советская улица, 16/25",800.0,1,0,0,0,1,0,0,Грузинская кухня,800.0,5.2,3.6,60.0
6,"ПхалиХинкали, ресторан грузинской кухни",70000001038087414,"8-я Советская улица, 14",1350.0,1,0,0,0,1,1,0,Грузинская кухня,1350.0,4.92,4.4,474.0
7,"Flori, итальянское бистро",70000001088777525,"Суворовский проспект, 47",1800.0,1,0,0,0,0,0,0,Авторская кухня; Итальянская кухня,1800.0,5.58,4.7,74.0
8,"Баклажан, ресторан грузинской кухни",70000001087754960,"Дегтярный переулок, 2",2000.0,1,0,0,0,1,0,0,Европейская кухня; Грузинская кухня,2000.0,6.28,3.5,9.0
9,"La maree, ресторан",5348552838549511,"Суворовский проспект, 34",7000.0,1,0,0,0,0,1,0,Средиземноморская кухня,7000.0,5.71,3.4,10.0
